State/UT,Number of constituencies-2009,Number of constituencies-2014,Number of electors-2009,Number of electors-2014,Number of votes polled-2009,Number of votes polled-2014,Number of valid votes polled-2009,Number of valid votes polled-2014,Percentage of votes polled-2009,Percentage of votes polled-2014
Andhra Pradesh,42,42,57892259,64934138,42048269,48467721,42009025,48026634,72.63,74.6
Arunachal Pradesh,2,2,734541,759344,500642,600828,500583,590635,68.16,79.1
Assam,14,14,17470329,18837713,12147016,15092387,12138945,14938826,69.53,80.1
Bihar,40,40,54505246,63800160,24235476,35892459,24230877,35304368,44.46,56.3
Chattisgarh,11,11,15476577,17664520,8555661,12256962,8553561,12030690,55.28,69.4
Goa,2,2,1020794,1060777,564255,817440,564071,806897,55.28,77.1
Gujarat,26,26,36484281,40603104,17476088,25849655,17472323,25369118,47.90,63.7
Haryana,10,10,12087710,16097233,8157676,11501251,8154018,11460931,67.49,71.4
Himachal Pradesh,4,4,4606674,4810071,2690850,3100199,2689567,3069345,58.41,64.5
Jammu & Kashmir,6,6,6572896,7183129,2607880,3571537,2605966,3535313,39.68,49.7
Jharkhand,14,14,17934095,20349796,9142173,12986625,9135434,12792013,50.98,63.8
Karnataka,28,28,41790939,46209813,24575813,31053583,24567178,30780980,58.81,67.2
Kerala,20,20,21859536,24326650,16036873,17987124,16030249,17765332,73.36,73.9
Madhya Pradesh,29,29,38085179,48121301,19486218,29648105,19482195,29247970,51.16,61.6
Maharashtra,48,48,72954058,80798823,36995037,48740403,36978848,48284248,50.71,60.3
Manipur,2,2,1736251,1774369,1339399,1415131,1336489,1405132,77.14,79.8
Meghalaya,2,2,1277739,1567241,822566,1078295,822518,1047913,64.38,68.8
Mizoram,1,1,629374,702170,325991,434962,325558,426706,51.80,61.9
Nagaland,1,1,1321878,1182972,1189601,1039962,1189460,1036214,89.99,87.9
Odisha,21,21,27194864,29196045,17767143,21542724,17757104,21196117,65.33,73.8
Punjab,13,13,16958380,19608161,11832306,13849496,11827727,13786378,69.77,70.6
Rajasthan,25,25,37060011,42994657,17935280,27133776,17924439,26782731,48.40,63.1
Sikkim,1,1,300584,370770,251776,310095,251253,304635,83.76,83.6
Tamil Nadu,39,39,41620460,55114867,30397137,40644282,30383034,40025367,73.03,73.7
Tripura,2,2,2082265,2388822,1758501,2028707,1756517,2000046,84.45,84.9
Uttar Pradesh,80,80,116006374,138810557,55430198,81118615,55402134,80500789,47.78,58.4
Uttarakhand,5,5,5887724,7127057,3140699,4395561,3134926,4343847,53.34,61.7
West Bengal,42,42,52493168,62833113,42731483,51662564,42721172,51060534,81.40,82.2
Andaman & Nicobar Islands,1,1,265108,269360,170103,190346,170103,188764,64.16,70.7
Chandigarh,1,1,524444,615214,343557,453462,343556,450349,65.51,73.7
Dadra & Nagar Haveli,1,1,150704,196597,110363,165324,110363,162324,73.23,84.1
Daman & Diu,1,1,95382,111827,68024,87233,68023,85917,71.32,78.0
Delhi,7,7,11096854,12711164,5754256,8275146,5752950,8232076,51.85,65.1
Lakshadweep,1,1,45983,49922,39498,43242,39498,43116,85.90,86.6
Puduchery,1,1,762440,901357,608503,740053,607942,717749,79.81,82.1
